user_id,gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned,Name,Favorite_Music,Password,JoinDate,ModifyDate,Grade
14,Female,53,US,Premium,45,47,0.6,Web,0,1,0,Owen J. Thomas,Alternative,Password123!,2020-04-09,2020-12-13,01
15,Other,37,IN,Family,114,13,0.44,Web,0,1,1,Nathan S. Jones,Techno,Password123!,2023-11-24,2024-08-28,01
16,Male,25,FR,Student,230,25,0.26,Desktop,0,1,0,Joseph N. Davis,Soul,Password123!,2020-10-24,2021-08-27,01
17,Female,36,DE,Student,181,93,0.23,Mobile,0,1,0,Theo G. Moore,Rock,Password123!,2021-11-18,2022-09-09,01
18,Male,58,US,Family,120,8,0.41,Desktop,0,1,0,Jackson O. Gonzalez,Hip Hop,Password123!,2020-01-28,2020-04-07,01
19,Female,34,DE,Family,160,32,0.35,Mobile,0,1,0,Theo G. Taylor,Indie,Password123!,2022-12-04,2023-05-31,01
20,Male,35,UK,Student,281,51,0.35,Desktop,0,1,0,Jackson C. Jones,Alternative,Password123!,2019-09-09,2020-08-17,01
21,Female,33,AU,Student,138,60,0.6,Web,0,1,0,Jacob O. Garcia,Folk,Password123!,2019-03-15,2019-10-21,01
22,Male,49,AU,Premium,20,7,0.45,Desktop,0,1,0,Liam K. Williams,Soul,Password123!,2020-01-11,2020-12-08,01
23,Female,45,PK,Family,138,95,0.1,Desktop,0,1,0,Logan S. Anderson,Classical,Password123!,2023-11-12,2023-12-05,01
24,Male,44,CA,Family,134,97,0.42,Web,0,1,0,Jacob X. Gonzalez,R&B,Password123!,2023-09-24,2024-08-11,01
25,Other,32,CA,Premium,133,22,0.59,Desktop,0,1,0,Jacob O. Lopez,Techno,Password123!,2022-06-08,2022-07-04,01
26,Female,19,US,Student,39,29,0.53,Desktop,0,1,0,William F. Rodriguez,EDM,Password123!,2024-10-24,2025-01-17,01
27,Male,28,IN,Free,293,67,0.33,Mobile,23,0,1,James J. Martinez,Country,Password123!,2018-05-11,2018-05-31,01
28,Other,58,FR,Free,15,55,0.3,Mobile,35,0,0,Lucas T. Anderson,Metal,Password123!,2019-08-09,2020-03-27,01
29,Male,33,FR,Free,123,13,0.22,Desktop,7,0,0,Levi Q. Gonzalez,Reggae,Password123!,2020-01-05,2020-02-06,01
30,Female,22,FR,Premium,18,12,0.39,Mobile,0,1,0,Caleb H. Anderson,Latin,Password123!,2020-10-30,2021-10-25,01
31,Other,44,UK,Premium,149,45,0.22,Web,0,1,0,Ethan U. Taylor,Soul,Password123!,2020-07-31,2021-04-12,01
32,Male,53,US,Student,72,12,0.17,Web,0,1,0,Michael H. Harris,Latin,Password123!,2018-09-14,2019-02-14,01
33,Female,49,IN,Premium,291,74,0.11,Mobile,0,1,0,Jackson V. Wilson,Latin,Password123!,2022-06-18,2023-01-19,01
34,Male,49,US,Family,147,52,0.43,Web,0,1,0,Jackson M. Martinez,Reggae,Password123!,2022-05-22,2023-06-15,01
35,Female,55,FR,Premium,18,2,0.04,Mobile,0,1,0,Michael Y. Robinson,Alternative,Password123!,2024-12-15,2025-01-12,01
36,Other,24,DE,Free,59,53,0.18,Web,28,0,1,Daniel I. Miller,Folk,Password123!,2020-05-15,2021-03-01,01
37,Male,22,DE,Student,280,99,0.29,Desktop,0,1,0,Logan V. Thomas,Techno,Password123!,2024-04-23,2024-05-26,01
38,Female,50,US,Family,117,98,0.04,Mobile,0,1,0,David C. Moore,Techno,Password123!,2019-02-06,2019-04-29,01
39,Female,42,DE,Family,47,59,0.06,Desktop,0,1,0,Benjamin F. Thompson,Soul,Password123!,2021-03-11,2022-04-13,01
40,Male,17,DE,Family,260,44,0.5,Desktop,0,1,1,Jackson K. Lopez,Reggae,Password123!,2024-03-19,2024-09-25,01
41,Female,51,UK,Premium,122,16,0.54,Desktop,0,1,0,Joseph I. Harris,K-Pop,Password123!,2019-06-25,2019-09-06,01
42,Female,46,US,Student,255,14,0.39,Desktop,0,1,0,Elijah S. Rodriguez,Techno,Password123!,2018-10-13,2019-05-03,01
43,Male,22,DE,Family,49,39,0.51,Mobile,0,1,0,Theo J. Anderson,Folk,Password123!,2022-06-22,2022-12-15,01
44,Male,37,DE,Family,90,89,0.4,Mobile,0,1,0,Ethan V. Rodriguez,EDM,Password123!,2020-09-05,2021-09-08,01
45,Male,39,PK,Family,288,69,0.48,Web,0,1,0,Logan K. Taylor,EDM,Password123!,2019-09-19,2020-05-07,01
46,Female,18,PK,Premium,255,3,0.39,Web,0,1,0,Theo Q. Clark,Blues,Password123!,2020-12-11,2021-01-18,01
47,Female,56,CA,Student,255,75,0.58,Desktop,0,1,0,James T. Garcia,Classical,Password123!,2021-01-13,2021-03-27,01
48,Male,58,US,Family,26,23,0.08,Mobile,0,1,0,Ethan H. Lopez,Rock,Password123!,2023-10-15,2023-11-04,01
49,Other,59,US,Family,238,60,0.29,Desktop,0,1,0,Caleb G. Johnson,Classical,Password123!,2023-04-01,2023-08-05,01
50,Male,50,PK,Free,241,7,0.56,Desktop,22,0,1,Michael S. Davis,Indie,Password123!,2024-10-17,2025-10-11,01
51,Female,45,CA,Premium,124,98,0.36,Desktop,0,1,0,Mason F. Johnson,Blues,Password123!,2019-03-15,2020-03-22,01
52,Other,56,FR,Premium,175,67,0.38,Web,0,1,0,Wyatt B. Jones,R&B,Password123!,2018-04-15,2018-08-31,01
53,Female,38,AU,Free,41,3,0.0,Desktop,43,0,1,Michael Q. Harris,Alternative,Password123!,2021-11-19,2021-11-26,01
54,Male,57,DE,Free,222,96,0.26,Web,15,0,0,Joseph Z. Johnson,Country,Password123!,2019-04-12,2019-11-11,01
55,Female,46,UK,Family,121,71,0.32,Desktop,0,1,0,Joseph V. Smith,R&B,Password123!,2022-01-06,2022-03-11,01
56,Female,41,IN,Family,277,2,0.59,Web,0,1,0,Liam R. Taylor,Hip Hop,Password123!,2019-05-27,2019-11-28,01
57,Other,19,IN,Free,107,82,0.11,Desktop,12,0,1,Jacob A. Sanchez,Classical,Password123!,2020-07-29,2020-11-04,01
58,Male,48,FR,Student,198,63,0.23,Desktop,0,1,0,Logan A. Harris,Soul,Password123!,2019-02-07,2019-03-06,01
59,Other,22,DE,Free,59,51,0.42,Desktop,19,0,0,Ethan E. Martin,Classical,Password123!,2024-04-13,2024-05-14,01
60,Other,17,IN,Student,95,79,0.53,Web,0,1,1,Isaac F. Davis,R&B,Password123!,2024-08-28,2024-12-01,01
61,Female,25,UK,Premium,262,23,0.17,Web,0,1,0,Elijah U. Johnson,Indie,Password123!,2020-04-20,2020-11-06,01
62,Other,49,PK,Student,169,26,0.56,Mobile,0,1,0,Theo A. Rodriguez,Reggae,Password123!,2018-11-09,2018-11-11,01
63,Other,59,IN,Free,25,32,0.2,Mobile,38,0,0,Daniel D. Johnson,Rock,Password123!,2020-06-02,2020-11-12,01
64,Female,45,CA,Family,55,67,0.51,Mobile,0,1,1,Isaac V. Johnson,Trap,Password123!,2018-11-20,2019-11-26,01
65,Male,45,IN,Student,161,42,0.4,Desktop,0,1,1,Sebastian G. Thompson,EDM,Password123!,2019-01-27,2019-04-22,01
66,Other,21,FR,Family,77,42,0.56,Web,0,1,0,Logan O. Thomas,Alternative,Password123!,2020-12-02,2021-02-19,01
67,Male,45,DE,Free,152,32,0.49,Mobile,14,0,1,Owen G. Martinez,K-Pop,Password123!,2019-12-16,2020-02-08,01
68,Female,45,UK,Free,156,51,0.14,Desktop,18,0,0,Oliver H. Martin,Indie,Password123!,2018-10-10,2019-11-03,01
69,Other,22,AU,Student,99,43,0.17,Desktop,0,1,0,Wyatt L. Jones,Jazz,Password123!,2024-02-02,2025-01-30,01
70,Female,56,US,Free,181,40,0.21,Mobile,10,0,0,Ethan Q. Perez,Hip Hop,Password123!,2019-06-30,2019-09-08,01
71,Other,51,AU,Student,265,81,0.36,Web,0,1,0,William G. Smith,Blues,Password123!,2021-01-15,2022-02-11,01
72,Female,22,AU,Family,131,70,0.35,Web,0,1,0,Elijah N. Moore,Country,Password123!,2023-04-13,2024-02-26,01
73,Other,33,CA,Student,19,68,0.32,Desktop,0,1,1,Jackson T. Lewis,Trap,Password123!,2018-10-26,2019-05-20,01
74,Other,59,AU,Family,201,15,0.05,Mobile,0,1,0,Oliver O. Taylor,Metal,Password123!,2023-03-23,2023-05-26,01
75,Male,41,DE,Family,223,53,0.33,Web,0,1,0,Mason Z. Martinez,Trap,Password123!,2022-06-04,2023-05-19,01
76,Male,25,UK,Premium,111,83,0.19,Desktop,0,1,0,John X. Thompson,Jazz,Password123!,2022-03-30,2023-03-03,01
77,Male,41,FR,Family,81,6,0.47,Mobile,0,1,0,Owen C. Wilson,Metal,Password123!,2024-08-19,2024-11-05,01
78,Other,30,FR,Family,124,73,0.43,Mobile,0,1,0,Sebastian U. Wilson,Folk,Password123!,2023-09-13,2024-10-08,01
79,Male,23,US,Free,13,30,0.24,Mobile,32,0,0,Ethan N. Jackson,Country,Password123!,2019-03-07,2019-08-05,01
80,Female,47,PK,Premium,31,72,0.53,Desktop,0,1,1,Lucas D. Jones,Classical,Password123!,2018-10-09,2019-08-14,01
81,Male,34,AU,Premium,277,87,0.3,Web,0,1,0,Sebastian R. Garcia,Folk,Password123!,2023-12-16,2024-03-24,01
82,Other,45,FR,Student,181,69,0.59,Web,0,1,0,John D. Sanchez,Blues,Password123!,2023-05-11,2024-04-09,01
83,Other,32,PK,Free,167,4,0.56,Mobile,35,0,0,Nathan L. White,Soul,Password123!,2020-10-10,2021-09-29,01
84,Other,51,CA,Free,105,11,0.03,Web,29,0,0,Samuel Z. Thompson,Alternative,Password123!,2024-11-06,2025-11-07,01
85,Other,21,FR,Student,202,79,0.45,Desktop,0,1,0,Elijah G. Martinez,R&B,Password123!,2019-01-01,2019-01-25,01
86,Female,20,IN,Family,284,38,0.23,Web,0,1,0,Benjamin Z. Clark,Indie,Password123!,2023-07-30,2024-02-04,01
87,Male,21,US,Premium,125,82,0.43,Web,0,1,0,Alexander V. Anderson,House,Password123!,2021-05-28,2021-09-23,01
88,Female,44,UK,Free,237,36,0.37,Web,20,0,0,Wyatt P. Moore,Metal,Password123!,2023-07-14,2024-01-31,01
89,Other,50,PK,Family,99,15,0.15,Mobile,0,1,0,John C. Gonzalez,R&B,Password123!,2019-04-15,2019-10-03,01
90,Other,52,DE,Student,224,49,0.38,Desktop,0,1,0,Liam L. Moore,Latin,Password123!,2019-08-15,2020-02-25,01
91,Male,43,UK,Free,195,80,0.17,Web,28,0,0,Mateo F. Johnson,Metal,Password123!,2024-01-03,2024-09-24,01
92,Female,41,PK,Premium,173,85,0.22,Web,0,1,0,Caleb U. Robinson,Country,Password123!,2023-05-31,2023-09-27,01
93,Female,57,IN,Family,210,7,0.25,Web,0,1,0,Ethan R. Thomas,Blues,Password123!,2021-08-10,2022-06-25,01
94,Other,50,UK,Free,85,7,0.45,Desktop,44,0,0,Oliver U. Perez,Alternative,Password123!,2023-05-24,2024-04-19,01
95,Female,35,FR,Family,93,1,0.4,Mobile,0,1,0,Elijah J. Clark,Pop,Password123!,2020-06-06,2020-07-01,01
96,Other,51,IN,Student,222,97,0.03,Desktop,0,1,1,Wyatt O. Martinez,Metal,Password123!,2023-10-02,2023-12-04,01
97,Male,34,CA,Premium,196,69,0.07,Web,0,1,0,Isaac Y. Lewis,Metal,Password123!,2023-09-14,2024-03-26,01
98,Female,47,US,Family,215,13,0.02,Mobile,0,1,1,Michael U. Perez,Trap,Password123!,2021-04-23,2022-04-09,01
99,Male,19,PK,Family,22,45,0.29,Web,0,1,1,Jackson B. Lee,Folk,Password123!,2019-05-30,2020-02-11,01
100,Female,30,UK,Student,283,13,0.02,Desktop,0,1,0,Joseph D. Perez,Metal,Password123!,2022-05-15,2022-07-17,01
101,Female,27,FR,Free,40,15,0.5,Web,16,0,0,Theo O. Smith,Country,Password123!,2019-10-19,2020-04-22,01
102,Male,25,DE,Student,251,91,0.12,Desktop,0,1,0,Mason B. Martin,Country,Password123!,2023-06-24,2024-05-15,01
103,Female,47,AU,Family,240,61,0.56,Mobile,0,1,0,Wyatt J. Martin,Latin,Password123!,2019-08-08,2020-06-26,01
104,Male,33,US,Family,160,76,0.06,Web,0,1,0,Logan I. Lewis,Country,Password123!,2022-12-21,2023-11-27,01
105,Male,46,CA,Free,114,11,0.24,Web,19,0,0,Benjamin J. Miller,Latin,Password123!,2024-07-01,2024-12-18,01
106,Other,50,AU,Student,251,9,0.39,Web,0,1,0,Liam H. Taylor,R&B,Password123!,2023-08-15,2023-12-29,01
107,Male,31,FR,Student,181,89,0.11,Desktop,0,1,1,Mateo J. Brown,Latin,Password123!,2023-06-21,2023-08-21,01
108,Female,45,FR,Premium,215,16,0.26,Web,0,1,0,Noah L. Johnson,Latin,Password123!,2024-10-15,2025-08-06,01
109,Male,51,FR,Student,119,11,0.05,Desktop,0,1,0,Henry Z. Thomas,Rock,Password123!,2021-12-21,2022-09-19,01
110,Other,33,CA,Premium,224,34,0.11,Mobile,0,1,0,Ethan X. Clark,Hip Hop,Password123!,2019-06-22,2020-02-14,01
111,Male,42,DE,Premium,31,61,0.29,Mobile,0,1,0,Michael G. Perez,House,Password123!,2023-08-01,2024-05-15,01
112,Male,16,CA,Family,17,10,0.27,Desktop,0,1,0,Mason E. Johnson,Alternative,Password123!,2024-04-10,2024-05-05,01
113,Other,31,FR,Student,174,29,0.13,Desktop,0,1,1,Theo S. Taylor,Alternative,Password123!,2022-07-15,2022-07-27,01
114,Male,40,AU,Family,31,48,0.33,Web,0,1,0,Logan N. Martin,Soul,Password123!,2020-02-26,2021-03-05,01
115,Male,57,FR,Student,84,40,0.58,Desktop,0,1,0,Lucas H. Wilson,Jazz,Password123!,2023-04-17,2023-11-18,01
116,Female,17,CA,Free,198,31,0.07,Web,6,0,0,Liam S. Davis,K-Pop,Password123!,2020-10-05,2020-12-24,01
117,Male,31,CA,Student,272,40,0.12,Desktop,0,1,1,David N. Wilson,K-Pop,Password123!,2024-09-05,2025-04-03,01
118,Other,45,UK,Family,21,73,0.16,Web,0,1,0,Ethan X. Martin,Techno,Password123!,2018-11-05,2019-12-09,01
119,Male,59,PK,Family,251,47,0.14,Mobile,0,1,0,Liam J. Moore,EDM,Password123!,2022-06-04,2023-06-13,01
120,Other,49,PK,Family,95,81,0.36,Mobile,0,1,0,Liam H. Garcia,Rock,Password123!,2022-01-18,2022-04-30,01
121,Male,59,IN,Student,169,20,0.18,Desktop,0,1,1,Oliver Y. Brown,Folk,Password123!,2020-11-08,2021-01-02,01
122,Male,47,DE,Premium,35,20,0.32,Desktop,0,1,1,Joseph N. Thompson,Folk,Password123!,2018-03-23,2018-09-05,01
123,Male,21,US,Free,32,34,0.52,Web,14,0,1,William V. Hernandez,Reggae,Password123!,2023-05-30,2023-11-05,01
124,Female,28,DE,Free,55,67,0.53,Desktop,7,0,0,Caleb Z. Martin,Classical,Password123!,2022-01-11,2022-08-09,01
125,Female,47,US,Family,120,26,0.48,Desktop,0,1,0,Michael N. Williams,Alternative,Password123!,2020-01-04,2020-02-21,01
126,Female,46,IN,Free,11,67,0.4,Desktop,36,0,1,Sebastian M. Lewis,Hip Hop,Password123!,2024-11-25,2025-12-26,01
127,Female,20,US,Premium,194,52,0.2,Mobile,0,1,0,Mateo H. Gonzalez,Soul,Password123!,2019-05-16,2020-06-09,01
128,Female,34,PK,Premium,81,85,0.29,Web,0,1,0,Noah Y. White,Folk,Password123!,2019-09-04,2019-12-14,01
129,Other,24,DE,Free,217,52,0.45,Web,23,0,0,Henry E. Ramirez,EDM,Password123!,2018-11-10,2019-10-01,01
130,Male,40,US,Premium,11,11,0.42,Web,0,1,1,John H. Davis,Hip Hop,Password123!,2019-11-03,2020-10-08,01
131,Male,48,UK,Free,72,35,0.53,Desktop,22,0,0,Michael V. Lewis,Reggae,Password123!,2020-03-14,2020-12-10,01
132,Other,47,PK,Premium,162,94,0.29,Desktop,0,1,0,Caleb H. Robinson,Latin,Password123!,2022-08-08,2023-06-11,01
133,Female,33,IN,Family,271,57,0.36,Mobile,0,1,1,Theo T. Smith,Trap,Password123!,2023-09-07,2024-03-24,01
134,Male,20,US,Premium,218,6,0.02,Desktop,0,1,1,James R. Lewis,Blues,Password123!,2020-06-11,2020-12-07,01
135,Other,55,DE,Family,94,24,0.3,Web,0,1,0,Mason N. Lopez,EDM,Password123!,2019-04-17,2019-09-03,01
136,Male,58,CA,Student,295,72,0.43,Desktop,0,1,0,Mateo J. Wilson,Blues,Password123!,2020-06-27,2021-01-20,01
137,Other,41,US,Premium,286,35,0.42,Desktop,0,1,0,Elijah O. Moore,Alternative,Password123!,2024-07-28,2025-04-18,01
138,Other,53,US,Student,298,37,0.5,Mobile,0,1,0,William E. Lopez,Techno,Password123!,2018-08-24,2019-09-15,01
139,Female,50,CA,Family,261,20,0.39,Desktop,0,1,1,William L. Miller,Jazz,Password123!,2022-07-08,2023-03-28,01
140,Other,55,US,Free,201,82,0.5,Desktop,27,0,1,James W. Hernandez,Latin,Password123!,2024-10-19,2025-05-10,01
141,Female,56,US,Free,40,84,0.56,Web,49,0,0,Logan B. Moore,Classical,Password123!,2023-12-12,2024-01-22,01
142,Other,18,AU,Premium,30,78,0.42,Mobile,0,1,0,Michael N. Lopez,Techno,Password123!,2022-11-01,2023-08-21,01
143,Male,29,CA,Student,109,88,0.45,Web,0,1,1,Michael E. Sanchez,Metal,Password123!,2022-07-17,2022-11-13,01
144,Female,28,UK,Premium,171,19,0.48,Mobile,0,1,1,Alexander W. Miller,Country,Password123!,2018-09-24,2019-03-12,01
145,Male,24,PK,Family,223,31,0.09,Mobile,0,1,0,Mason I. Smith,Jazz,Password123!,2023-12-26,2024-01-03,01
146,Other,44,AU,Family,52,17,0.2,Desktop,0,1,0,Elijah E. Hernandez,Indie,Password123!,2021-09-29,2022-10-25,01
147,Other,18,IN,Family,195,94,0.49,Desktop,0,1,0,Noah K. Rodriguez,Latin,Password123!,2020-10-16,2021-06-02,01
148,Other,40,PK,Premium,198,78,0.0,Desktop,0,1,0,Theo P. Taylor,Pop,Password123!,2018-04-22,2019-05-14,01
149,Other,22,DE,Student,285,2,0.3,Desktop,0,1,0,Elijah M. Miller,Reggae,Password123!,2018-06-21,2018-08-29,01
150,Male,34,FR,Premium,278,83,0.24,Desktop,0,1,0,Benjamin N. Johnson,Blues,Password123!,2024-04-07,2025-01-04,01
151,Male,44,AU,Premium,251,57,0.37,Desktop,0,1,0,Nathan I. Perez,Blues,Password123!,2020-05-30,2020-08-29,01
152,Male,58,US,Student,158,52,0.27,Mobile,0,1,0,James Q. Thomas,Pop,Password123!,2024-09-20,2025-07-22,01
153,Female,41,PK,Family,14,41,0.59,Web,0,1,0,Daniel A. Perez,Latin,Password123!,2021-07-30,2021-09-05,01
154,Female,52,UK,Premium,280,81,0.27,Desktop,0,1,1,Caleb Y. Johnson,Hip Hop,Password123!,2024-07-13,2025-06-30,01
155,Male,26,IN,Student,257,14,0.13,Web,0,1,0,Mason D. Wilson,Reggae,Password123!,2022-10-08,2023-07-02,01
156,Other,42,CA,Family,21,76,0.56,Web,0,1,1,Ethan V. Jackson,Soul,Password123!,2022-02-17,2022-06-22,01
157,Other,27,PK,Free,237,27,0.16,Web,40,0,0,Oliver S. Brown,Alternative,Password123!,2024-09-15,2025-09-07,01
158,Other,48,DE,Free,224,53,0.07,Mobile,43,0,0,Liam A. Thompson,Metal,Password123!,2020-08-12,2020-12-13,01
159,Other,24,AU,Family,216,76,0.28,Mobile,0,1,0,Isaac P. Rodriguez,Hip Hop,Password123!,2021-08-14,2021-08-30,01
160,Other,34,CA,Premium,137,97,0.32,Web,0,1,0,Jackson U. Brown,Metal,Password123!,2018-04-15,2018-12-26,01
161,Other,28,DE,Free,209,84,0.53,Web,28,0,0,John P. Smith,House,Password123!,2022-05-05,2023-01-09,01
162,Female,17,FR,Free,36,30,0.19,Mobile,43,0,1,Jacob M. Martinez,Metal,Password123!,2021-05-24,2022-01-14,01
163,Other,50,PK,Free,95,50,0.49,Desktop,31,0,1,William U. Miller,Blues,Password123!,2019-02-26,2019-08-06,01
164,Female,35,AU,Premium,298,25,0.11,Mobile,0,1,1,Owen G. Brown,Folk,Password123!,2018-02-03,2018-11-17,01
165,Male,20,DE,Family,224,51,0.23,Desktop,0,1,1,Nathan K. Thompson,Blues,Password123!,2023-05-16,2024-02-25,01
166,Female,50,PK,Free,205,43,0.48,Desktop,47,0,0,Noah U. Anderson,K-Pop,Password123!,2021-04-24,2021-08-17,01
167,Male,23,FR,Student,95,31,0.37,Web,0,1,0,Liam D. Harris,Blues,Password123!,2024-12-29,2025-01-09,01
168,Other,20,UK,Free,289,17,0.28,Desktop,35,0,0,William J. Williams,Hip Hop,Password123!,2019-04-26,2019-12-14,01
169,Male,51,CA,Premium,168,28,0.54,Web,0,1,0,Elijah M. Martinez,K-Pop,Password123!,2022-09-24,2023-01-28,01
170,Female,18,PK,Free,211,48,0.48,Mobile,23,0,1,Joseph Q. Martin,Techno,Password123!,2022-12-28,2023-05-01,01
171,Male,29,DE,Premium,63,99,0.38,Mobile,0,1,0,Lucas D. Miller,House,Password123!,2023-03-25,2024-04-04,01
172,Male,39,DE,Free,124,83,0.52,Mobile,35,0,0,Wyatt B. Davis,Classical,Password123!,2022-12-03,2023-09-23,01
173,Other,51,CA,Family,275,56,0.05,Web,0,1,0,Caleb H. Clark,Jazz,Password123!,2019-10-29,2020-06-12,01
174,Male,24,PK,Student,120,38,0.11,Mobile,0,1,0,Oliver X. Thompson,Techno,Password123!,2024-12-27,2025-06-22,01
175,Male,20,DE,Free,64,20,0.16,Mobile,20,0,1,Mason W. Harris,Trap,Password123!,2024-11-21,2025-12-12,01
176,Female,57,UK,Premium,121,86,0.08,Web,0,1,1,Elijah J. Robinson,Classical,Password123!,2024-12-29,2026-01-27,01
177,Other,16,AU,Free,184,12,0.2,Desktop,15,0,0,Joseph A. Lopez,Reggae,Password123!,2023-05-31,2024-02-15,01
178,Male,18,PK,Family,219,54,0.06,Web,0,1,0,Sebastian A. Davis,House,Password123!,2021-01-04,2021-04-29,01
179,Male,16,DE,Free,184,40,0.01,Mobile,9,0,0,Benjamin K. Hernandez,Folk,Password123!,2022-10-28,2023-01-30,01
180,Female,50,UK,Family,30,37,0.25,Desktop,0,1,1,Nathan O. Robinson,Blues,Password123!,2018-04-20,2018-06-01,01
181,Male,23,DE,Free,55,46,0.41,Desktop,7,0,0,Michael U. Ramirez,Jazz,Password123!,2019-12-01,2020-06-25,01
182,Female,53,AU,Premium,38,4,0.09,Mobile,0,1,0,David J. Martin,K-Pop,Password123!,2020-01-14,2020-08-27,01
183,Male,58,CA,Premium,281,58,0.16,Desktop,0,1,0,John P. Rodriguez,Classical,Password123!,2024-11-18,2025-10-08,01
184,Female,31,DE,Premium,140,57,0.35,Mobile,0,1,1,Alexander U. Williams,Jazz,Password123!,2020-11-07,2021-01-04,01
185,Female,19,US,Student,130,17,0.35,Desktop,0,1,0,Nathan X. Jones,Alternative,Password123!,2024-11-02,2025-06-15,01
186,Female,36,US,Student,238,82,0.35,Web,0,1,1,Alexander A. Brown,Hip Hop,Password123!,2022-11-19,2023-09-01,01
187,Other,19,PK,Premium,295,53,0.55,Web,0,1,1,Joseph N. Martinez,K-Pop,Password123!,2023-11-10,2024-03-29,01
188,Other,26,IN,Free,265,31,0.41,Web,38,0,0,Wyatt B. Williams,Pop,Password123!,2018-07-15,2019-01-29,01
189,Other,16,US,Student,179,80,0.6,Desktop,0,1,0,Joseph I. Sanchez,Techno,Password123!,2020-07-13,2021-07-19,01
190,Other,49,AU,Free,198,4,0.1,Desktop,36,0,0,Lucas K. Martinez,Classical,Password123!,2021-12-18,2022-09-11,01
191,Female,55,UK,Premium,180,17,0.08,Web,0,1,0,David M. Sanchez,Rock,Password123!,2018-06-09,2018-08-28,01
192,Other,21,DE,Student,267,89,0.52,Web,0,1,0,Caleb T. Robinson,Blues,Password123!,2019-11-18,2020-05-27,01
193,Other,48,CA,Free,126,22,0.58,Mobile,45,0,0,Mason T. Lee,Country,Password123!,2024-12-08,2025-06-03,01
194,Female,38,IN,Family,233,94,0.29,Web,0,1,1,Mateo C. Garcia,Hip Hop,Password123!,2021-06-26,2021-09-23,01
195,Male,59,PK,Student,161,95,0.59,Desktop,0,1,1,Wyatt Y. Garcia,Indie,Password123!,2019-02-14,2019-03-17,01
196,Female,31,CA,Student,100,70,0.43,Mobile,0,1,0,Caleb U. Jackson,Hip Hop,Password123!,2020-07-27,2021-08-09,01
197,Female,24,US,Student,240,45,0.53,Web,0,1,1,Henry Y. Anderson,Hip Hop,Password123!,2022-02-22,2022-09-16,01
198,Male,55,UK,Student,170,95,0.45,Mobile,0,1,0,Logan Y. Garcia,Metal,Password123!,2022-02-20,2022-05-25,01
199,Male,53,UK,Family,150,29,0.18,Desktop,0,1,0,Henry T. Clark,Folk,Password123!,2021-05-26,2022-03-25,01
200,Other,31,US,Family,203,79,0.15,Web,0,1,0,Sebastian A. Jackson,Pop,Password123!,2020-09-05,2021-09-09,01
201,Female,49,AU,Free,226,31,0.24,Desktop,32,0,0,Michael Y. Lopez,Country,Password123!,2020-03-25,2020-11-01,01
202,Other,49,UK,Premium,31,93,0.03,Desktop,0,1,0,Isaac B. Moore,Pop,Password123!,2019-10-25,2020-04-16,01
203,Female,33,DE,Premium,81,34,0.09,Mobile,0,1,0,Sebastian K. Garcia,Metal,Password123!,2023-01-14,2024-01-17,01
204,Other,59,PK,Free,62,99,0.55,Mobile,5,0,0,Joseph X. White,Techno,Password123!,2018-08-23,2018-10-23,01
205,Female,58,AU,Free,202,22,0.45,Mobile,36,0,0,James U. Thompson,Jazz,Password123!,2019-10-31,2020-05-22,01
206,Other,49,PK,Free,207,33,0.09,Web,9,0,1,Michael O. Taylor,Trap,Password123!,2019-05-01,2020-02-17,01
